step: 0, train loss: 11.4827, val loss: 11.4840, elapsed time: 2.2009 min, mfu: 0.00177285, total_flops: 1.5218e+13
step: 10, train loss: 10.8437, val loss: 10.8442, elapsed time: 3.7332 min, mfu: 0.00254662, total_flops: 3.7077e+13
step: 20, train loss: 8.2496, val loss: 8.2467, elapsed time: 4.9877 min, mfu: 0.00311037, total_flops: 6.0502e+13
step: 30, train loss: 6.1695, val loss: 6.1480, elapsed time: 6.2757 min, mfu: 0.00302938, total_flops: 7.4145e+13
step: 40, train loss: 5.2552, val loss: 5.2632, elapsed time: 7.3975 min, mfu: 0.00347816, total_flops: 1.0035e+14
step: 50, train loss: 4.7883, val loss: 4.7777, elapsed time: 8.5980 min, mfu: 0.00325029, total_flops: 1.0899e+14
step: 60, train loss: 4.3622, val loss: 4.3403, elapsed time: 9.7631 min, mfu: 0.00334917, total_flops: 1.2752e+14
step: 70, train loss: 4.2487, val loss: 4.2070, elapsed time: 11.0581 min, mfu: 0.00301291, total_flops: 1.2994e+14
step: 80, train loss: 4.1395, val loss: 4.1081, elapsed time: 13.0404 min, mfu: 0.00196848, total_flops: 1.0011e+14
step: 90, train loss: 4.1091, val loss: 4.0845, elapsed time: 14.5393 min, mfu: 0.00260310, total_flops: 1.4760e+14
step: 100, train loss: 4.0750, val loss: 4.0714, elapsed time: 15.9790 min, mfu: 0.00271028, total_flops: 1.6890e+14
step: 120, train loss: 4.0499, val loss: 3.9653, elapsed time: 18.1044 min, mfu: 0.00183583, total_flops: 1.2962e+14
step: 140, train loss: 4.0030, val loss: 3.9880, elapsed time: 20.8908 min, mfu: 0.00140035, total_flops: 1.1409e+14
step: 160, train loss: 3.9687, val loss: 3.9773, elapsed time: 23.2816 min, mfu: 0.00163213, total_flops: 1.4819e+14
step: 180, train loss: 3.9467, val loss: 3.9294, elapsed time: 25.7613 min, mfu: 0.00157354, total_flops: 1.5809e+14
step: 200, train loss: 3.8427, val loss: 3.8493, elapsed time: 28.0373 min, mfu: 0.00171441, total_flops: 1.8746e+14
step: 220, train loss: 3.7118, val loss: 3.6894, elapsed time: 29.9996 min, mfu: 0.00198839, total_flops: 2.3264e+14
step: 240, train loss: 3.6133, val loss: 3.5821, elapsed time: 31.7676 min, mfu: 0.00220696, total_flops: 2.7343e+14
step: 260, train loss: 3.4895, val loss: 3.4729, elapsed time: 33.5910 min, mfu: 0.00213999, total_flops: 2.8035e+14
step: 280, train loss: 3.3502, val loss: 3.3854, elapsed time: 35.4013 min, mfu: 0.00215542, total_flops: 2.9759e+14
step: 300, train loss: 2.9473, val loss: 2.9681, elapsed time: 37.1768 min, mfu: 0.00219760, total_flops: 3.1863e+14
